ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
241,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.69,0.45,0.27,1.16,22.3,0.752,19.42,129
242,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.69,0.45,0.64,1.1,22.1,0.742,18.04,129
243,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.69,0.45,0.34,1.05,22.6,0.712,16.89,129
244,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.69,0.45,0.21,1.03,21.7,0.738,16.49,129
245,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.1,21.9,0.741,17.8,130
246,0.155,0.787,0.058,47.335684,2.71921,1,0,207,1.18,0.22,0,0.78,2.0072,1.048593299,3.461367739,0.587883619,1.62,0.33,0.25,1.134,21.36,0.769,18.64,131
247,0.155,0.787,0.058,47.335684,2.71921,1,0,207,1.18,0.22,0,0.78,2.0072,1.048593299,3.461367739,0.587883619,1.62,0.33,0.41,1.106,20.92,0.754,17.46,131
248,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0,1.122,22.6,0.757,19.19,132
249,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.05,22.5,0.718,17.1,133
250,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.05,0,0.95,2.048,1.056826724,3.48542396,0.576171875,1.6,0.28,0.2,1.1,20.7,0.706,16.1,134
251,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.2,0.27,1.113,21.3,0.771,18.28,135
252,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.196,0.27,1.085,22.29,0.791,19.13,135
253,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.201,0.27,1.082,22.51,0.815,19.85,135
254,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.19,0.27,1.079,22.2,0.781,18.71,135
