ID,MA,FA,Cs,Radius of A,Pb,Sn,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF,ELECTRODE,PLANAR/INVERTED,TCO
312,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.5,0.3,0.1,0.94,19.6,0.77,14.2,166,Al,I,ITO
313,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.6,1,21.7,0.758,16.6,167,Ag,I,ITO
314,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.59,0.18,0.11,1.07,19.3,0.76,15.7,168,Ag,I,ITO
315,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.61,0.16,0.35,0.89,20.3,0.62,11.2,168,Ag,I,ITO
316,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.3,1.075,21.296,0.664,15.2,169,Ag,I,ITO
317,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.6,0.3,0,0.98,22.61,0.77,17.06,171,Ag,I,ITO
318,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.6,0.2,0,0.91,19.61,0.71,12.67,171,Ag,I,ITO
319,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.45,0.06,0.11,1.06,22.35,0.75,17.78,172,Au,P,FTO
320,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.45,0.06,0.35,1.04,20.15,0.72,15.09,172,Au,P,FTO
321,0,0,1,1.81,1,0,1.18,0.33,0,0.67,1.9808,0.8480449209,1.92,0.86,0.06,1.23,16.79,0.7781,16.07,173,Au,P,ITO
322,0,0,1,1.81,1,0,1.18,1,0,0,1.82,0.8555992052,2.3,0.4,0.8,1.27,6.97,0.785,6.95,174,Au,P,FTO
323,0.17,0.83,0,2.7747,1,0,1.18,0.17,0,0.83,2.0192,1.059577144,1.56,0.63,0.02,1.12,21.06,0.704,16.6,175,Au,P,FTO
