ID,MA,FA,Cs,Radius of A,Pb,Sn,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF,ELECTRODE,PLANAR/INVERTED,TCO
122,0.15,0.75,0.1,2.6785,1,0,1.18,0.12,0,0.88,2.0312,1.037076734,1.59,0.43,0.21,1.084,22.66,0.82,20.16,72,Au,P,ITO
123,0.15,0.75,0.1,2.6785,1,0,1.18,0.12,0,0.88,2.0312,1.037076734,1.59,0.43,0.31,1.033,20.35,0.68,14.33,72,Au,P,ITO
124,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.14,0.3,1.11,23.27,0.75,17.21,73,Al,I,ITO
125,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.43,0.18,1.129,23.6,0.779,20.75,74,Au,P,FTO
126,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.32,1.11,23.27,0.67,17.21,75,Au,P,FTO
127,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.23,0.3,1.07,20.37,0.78,17.02,76,Ag,I,ITO
128,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.3,1.05,20.79,0.78,17.08,76,Ag,I,ITO
129,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.4,0.3,1.02,21.87,0.75,16.8,76,Ag,I,ITO
130,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0.3,0.88,20.25,0.75,13.37,76,Ag,I,ITO
131,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.071,21.3,0.84,19.1,77,Au,P,FTO
132,0,1,0,2.79,1,0,1.18,0,0,1,2.06,1.058477743,1.5,0.5,0.12,1,22.4,0.71,16,78,Au,P,FTO
133,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.32,1.09,20.9,0.72,16.5,79,Ag,P,FTO
134,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.32,1.07,22.9,0.74,18.5,80,Ag,I,ITO
135,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.3,0.2,1.02,22.3,0.71,16.2,81,Au,P,FTO
136,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.35,0.43,1.145,20.7,0.77,18.3,81,Au,P,FTO
137,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.39,0.43,1.133,20.4,0.72,16.8,81,Au,P,FTO
138,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.18,0.43,1.087,22.3,0.74,17.9,81,Au,P,FTO
139,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.47,0.43,0.99,16,0.57,9,81,Au,P,FTO
140,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.59,0.43,0.961,18.4,0.67,11.9,81,Au,P,FTO
141,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.6,0.28,0.2,1.123,22.89,0.756,19.43,82,Au,P,FTO
142,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.114,23.34,0.7731,20.1,83,Au,P,FTO
143,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.3,1.11,22.64,0.776,19.5,84,Au,P,FTO
144,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0,0.3,1.11,21.23,0.81,19.14,85,Al,I,ITO
145,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.3,1.05,19.16,0.79,15.82,85,Al,I,ITO
146,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,-0.1,0.3,1.03,18.23,0.78,14.66,85,Al,I,ITO
147,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0.3,1,18.85,0.79,14.83,85,Al,I,ITO
148,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.3,0.3,0.93,18.64,0.8,14.01,85,Al,I,ITO
149,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.4,0.3,0.87,18.31,0.79,12.68,85,Al,I,ITO
150,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.4,0.3,0.84,16.6,0.76,10.6,85,Al,I,ITO
151,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.35,0.18,1.13,21.71,0.77,18.9,86,Au,P,FTO
152,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.43,0.18,1.13,23.67,0.72,19.2,86,Au,P,FTO
153,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.27,0.18,1.09,20.85,0.77,17.5,86,Au,P,FTO
154,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.43,0.18,0.97,20.1,0.38,7.5,86,Au,P,FTO
155,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.55,0.08,0.25,0.985,19.8,0.7358,14.35,87,Carbon,P,FTO
156,0.5,0.5,0,2.745,1,0,1.18,0.5,0,0.5,1.94,1.061793356,1.5,0.15,0.2,1.08,22.42,0.74,17.92,88,Au,P,FTO
157,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.15,0.2,1.02,21.44,0.77,17.05,88,Au,P,FTO
158,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.56,0.11,0.25,0.91,19.07,0.72,12.61,89,Ag,I,ITO
159,1,0,0,2.7,0.5,0.5,1.185,0.2,0,0.8,2.012,1.04219179,1.35,0.02,0.01,0.89,25.67,0.75,17.13,90,Ag,I,ITO
160,0.17,0.83,0,2.7747,1,0,1.18,0.17,0,0.83,2.0192,1.059577144,1.58,0.4,0.06,1.06,22.08,0.767,18,91,Au,P,FTO
161,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0,1.04,21.3,0.772,17.1,92,Ag,I,FTO
162,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.43,0.18,1.14,22.84,0.7579,19.81,93,Au,P,FTO
163,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.69,0.18,1.1,25.5,0.6985,19.68,93,Au,P,FTO
164,0,0,1,1.81,1,0,1.18,0.33,0,0.67,1.9808,0.8480449209,1.92,0.83,0.05,1.23,15,0.785,14.6,94,Ag,P,ITO
165,0,0,1,1.81,1,0,1.18,0.33,0,0.67,1.9808,0.8480449209,1.92,0.83,0.27,1.06,14.7,0.757,11.9,94,Ag,P,ITO
166,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.6,0.1,0.3,1.05,17.62,0.601,12,95,Ag,P,FTO
167,0,1,0,2.79,0,1,1.19,0,0,1,2.06,1.055220889,1.4,0.7,0.18,0.47,22.45,0.678,7.09,96,Ag,P,ITO
168,0,1,0,2.79,0,1,1.19,0,0,1,2.06,1.055220889,1.4,0.7,0.16,0.44,22.34,0.673,6.56,96,Ag,P,ITO
169,0,1,0,2.79,0,1,1.19,0,0,1,2.06,1.055220889,1.4,0.7,0.28,0.4,22.17,0.662,5.9,96,Ag,P,ITO
170,0,1,0,2.79,0,1,1.19,0,0,1,2.06,1.055220889,1.4,0.7,0.36,0.36,21.96,0.674,5.29,96,Ag,P,ITO
171,0.14,0.81,0.05,2.7284,1,0,1.18,0.15,0,0.85,2.024,1.04883092,1.6,0.58,-0.1,1.09,22.62,0.779,19.2,97,Au,P,ITO
172,0.16,0.79,0.05,2.7266,1,0,1.18,0.16,0,0.84,2.0216,1.048689536,1.69,0.45,0.21,1.08,22.5,0.809,19.7,98,Cu,I,ITO
173,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.15,0.2,1.07,22.7,0.775,18.8,99,Au,P,FTO
174,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0.2,1.05,22.6,0.734,17.5,99,Au,P,FTO
175,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.55,0.06,0.37,1.06,20.7,0.75,16.3,100,Au,P,FTO
176,0,1,0,2.79,1,0,1.18,0,0,1,2.06,1.058477743,1.5,0.5,0.12,0.809,21.4,0.59,10.4,101,Au,P,FTO
177,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.73,0.43,0.18,1.16,23.18,0.79,21.31,102,Au,P,FTO
178,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.09,23.91,0.73,19.12,103,Au,P,ITO
179,0.16,0.79,0.05,2.7266,1,0,1.18,0.17,0,0.83,2.0192,1.048945787,1.6,0.48,0,1.076,22.7,0.78,19,104,Au,P,FTO
180,0.9,0,0.1,2.611,1,0,1.18,0,0,1,2.06,1.019412276,1.54,0.49,0.05,1.05,10.1,0.73,7.68,105,Al,I,ITO
181,0.95,0,0.05,2.6555,1,0,1.18,0,0,1,2.06,1.029124082,1.51,0.49,0.08,1.01,8.69,0.726,6.29,105,Al,I,ITO
182,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.4,0.2,1.07,23.44,0.6125,15.38,106,Carbon,P,FTO
183,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.4,0.2,1.02,21.88,0.5403,12.06,106,Carbon,P,FTO
184,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.3,1.08,22.47,0.81,19.66,106,Carbon,P,FTO
185,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.5,0.3,1,18.52,0.78,14.45,107,Ag,I,ITO
186,1,0,0,2.7,0.75,0.25,1.1825,0,0,1,2.06,1.038034936,1.38,0.04,0.32,0.82,22.44,0.78,14.35,107,Ag,I,ITO
187,0,1,0,2.79,1,0,1.18,0,0,1,2.06,1.058477743,1.5,0.5,0.12,1.05,23,0.721,17.4,109,Ag,P,FTO
188,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.5,0,1.153,22.18,0.733,18.76,110,Au,P,FTO
189,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.48,0,1.097,22.59,0.758,18.77,110,Au,P,FTO
190,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.43,0,1.025,20.16,0.801,16.54,110,Au,P,FTO
191,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.47,0,0.994,22.68,0.625,14.09,110,Au,P,FTO
192,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.5,0,0.975,10.92,0.66,7.03,110,Au,P,FTO
193,0.13,0.74,0.1,2.5966,1,0,1.18,0.13,0,0.83,1.9464,1.027503233,1.6,0.38,0,0.972,8.67,0.727,6.12,110,Au,P,FTO
194,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0,1.1,22.06,0.756,18.39,111,Au,P,ITO
195,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.3,1.05,19.17,0.607,12.27,111,Au,P,ITO
196,0.16,0.79,0.05,2.7266,1,0,1.18,0.17,0,0.83,2.0192,1.048945787,1.6,0.23,0.14,1.18,21.8,0.77,20,112,Au,P,FTO
197,0.16,0.79,0.05,2.7266,1,0,1.18,0.17,0,0.83,2.0192,1.048945787,1.6,0.34,0.14,1.15,21.4,0.72,17.8,112,Au,P,FTO
198,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.17,0.2,1.12,20.5,0.76,17.5,112,Au,P,FTO
199,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.07,20.5,0.74,16.5,112,Au,P,FTO
200,0.135,0.765,0.1,2.67985,1,0,1.18,0.15,0,0.85,2.024,1.038116177,1.611,0.28,0.32,1.061,21.28,0.6955,15.71,113,Au,P,FTO
201,0.14,0.81,0.05,2.7284,1,0,1.18,0.15,0,0.85,2.024,1.04883092,1.612,0.18,0.41,1.054,21.7,0.7548,17.1,113,Au,P,FTO
202,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.62,0.23,0.37,1.027,21.47,0.6916,15.24,113,Au,P,FTO
203,0,0.9,0.1,2.692,1,0,1.18,0,0,1,2.06,1.037089946,1.55,0.16,0.37,1.02,20.03,0.71,14.49,114,Ag,P,FTO
204,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.55,0.01,0.25,1.11,21.66,0.77,18.51,115,Au,P,FTO
205,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.55,0.08,0.25,1.08,21.45,0.74,17.14,115,Au,P,FTO
206,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.23,0.27,1.06,20.2,0.813,17.3,116,Al,I,ITO
207,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.3,0.1,1.12,21.8,0.77,18.8,117,Ag,I,FTO
208,0,1,0,2.79,0.5,0.5,1.185,0,0,1,2.06,1.056846807,1.17,0.39,0.06,0.782,28.51,0.73,16.27,118,Al,I,ITO
209,0,1,0,2.79,0.5,0.5,1.185,0,0,1,2.06,1.056846807,1.17,0.5,0.06,0.61,27.79,0.68,11.6,118,Al,I,ITO
210,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,0.85,18.7,0.731,11.6,119,Au,P,FTO
211,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.17,0.37,1.09,20.94,0.754,17.21,120,Au,P,ITO
212,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.21,0.37,1.05,20.71,0.7664,16.67,120,Au,P,ITO
213,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.16,0.37,1.04,20.4,0.756,16.04,120,Au,P,ITO
214,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.07,21.37,0.768,17.6,121,Ag,P,ITO
215,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0.2,0.93,18.19,0.563,9.52,121,Ag,P,ITO
216,1,0,0,2.7,1,0,1.18,0,0.05,0.95,2.0475,1.040120664,1.55,0.1,0.15,0.99,19.58,0.78,15.12,122,Al,I,ITO
217,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0,0.3,1.048,20.03,0.591,12.43,123,Ag,I,ITO
218,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.58,0.72,0.02,1.14,22.58,0.78,20.02,123,Ag,I,ITO
219,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0,1.11,20.53,0.5,11.7,125,Ag,I,ITO
220,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.15,0.2,1.1,20.5,0.78,17.6,126,Au,P,FTO
221,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.14,0.06,1.13,23.62,0.7666,20.47,127,Au,P,FTO
222,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.14,0.06,1.13,23.62,0.7666,20.47,127,Au,P,FTO
223,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.06,1.12,23.52,0.7601,20.02,127,Au,P,FTO
224,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.06,1.12,23.15,0.7339,19.03,127,Au,P,FTO
225,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.14,1.11,23.52,0.7506,19.6,127,Au,P,FTO
226,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.5,1.09,22.8,0.7366,18.31,127,Au,P,FTO
227,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.13,0.06,1.09,23.17,0.7431,18.77,127,Au,P,FTO
228,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.15,0.06,1.09,23.16,0.7088,17.88,127,Au,P,FTO
229,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.36,1.07,21.9,0.7138,16.76,127,Au,P,FTO
230,0.153,0.747,0.1,2.67823,1,0,1.18,0.17,0,0.83,2.0192,1.038254753,1.57,0.16,0.57,1.06,22.44,0.704,16.71,127,Au,P,FTO
231,0,0,1,1.81,1,0,1.18,0.33,0,0.67,1.9808,0.8480449209,1.82,0.64,0.44,1.3,13.13,0.704,12.02,128,Au,P,ITO
232,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.69,0.45,0.27,1.16,22.3,0.752,19.42,129,Cu,I,ITO
233,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.69,0.45,0.64,1.1,22.1,0.742,18.04,129,Cu,I,ITO
234,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.69,0.45,0.34,1.05,22.6,0.712,16.89,129,Cu,I,ITO
235,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.69,0.45,0.21,1.03,21.7,0.738,16.49,129,Cu,I,ITO
236,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.2,1.1,21.9,0.741,17.8,130,Ag,P,FTO
237,0.155,0.787,0.058,2.71921,1,0,1.18,0.22,0,0.78,2.0072,1.048593299,1.62,0.33,0.25,1.134,21.36,0.769,18.64,131,Au,P,FTO
238,0.155,0.787,0.058,2.71921,1,0,1.18,0.22,0,0.78,2.0072,1.048593299,1.62,0.33,0.41,1.106,20.92,0.754,17.46,131,Au,P,FTO
239,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0,1.122,22.6,0.757,19.19,132,Ag,I,FTO
240,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.18,0.32,1.05,22.5,0.718,17.1,133,Au,P,FTO
241,0.15,0.85,0,2.7765,1,0,1.18,0.05,0,0.95,2.048,1.056826724,1.6,0.28,0.2,1.1,20.7,0.706,16.1,134,Au,P,FTO
242,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.2,0.27,1.113,21.3,0.771,18.28,135,Au,P,FTO
243,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.196,0.27,1.085,22.29,0.791,19.13,135,Au,P,FTO
244,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.201,0.27,1.082,22.51,0.815,19.85,135,Au,P,FTO
245,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.19,0.27,1.079,22.2,0.781,18.71,135,Au,P,FTO
246,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.184,0.27,1.073,22.03,0.778,18.39,135,Au,P,FTO
247,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.212,0.27,1.072,22.3,0.807,19.29,135,Au,P,FTO
248,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.134,0.27,1.065,21.88,0.744,17.33,135,Au,P,FTO
249,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.105,0.27,1.058,21.73,0.724,16.65,135,Au,P,FTO
250,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.067,0.27,1.052,21.96,0.702,16.21,135,Au,P,FTO
251,0.7,0.3,0,2.727,1,0,1.18,0,0,1,2.06,1.044728445,1.57,0.23,0.27,1.044,21.66,0.81,18.32,135,Au,P,FTO
252,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.1,0.6,1.04,20.4,0.68,15.1,136,Ag,I,ITO
253,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.42,0.17,1.061,20.7,0.647,14.2,137,Au,P,FTO
254,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.42,0.23,1.05,20.6,0.636,13.7,137,Au,P,FTO
255,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.42,0.08,1.044,21.6,0.691,15.6,137,Au,P,FTO
256,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.42,0.02,1.011,20.5,0.638,13.2,137,Au,P,FTO
257,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.42,0.04,0.985,19.9,0.573,11.2,137,Au,P,FTO
258,0,0,1,1.81,1,0,1.18,0.67,0,0.33,1.8992,0.8517798366,2.08,0.78,0.06,1.09,7.76,0.6594,5.59,138,Ag,P,FTO
259,0,1,0,2.79,0,1,1.19,0,0,1,2.06,1.055220889,1.4,0.7,0.4,0.39,22.12,0.57,4.92,139,Cu,I,ITO
260,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.05,0.26,1.1,21.78,0.7763,18.67,140,Au,P,ITO
261,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.08,0.26,1.09,22.24,0.7891,18.81,140,Au,P,ITO
262,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,0.08,0.26,1.05,21.62,0.7234,16.43,140,Au,P,ITO
263,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.55,-0.1,0.26,1.02,21.29,0.6731,14.81,140,Au,P,ITO
264,1,0,0,2.7,1,0,1.18,0,0.33,0.67,1.9775,1.047503395,1.55,0.1,0.25,0.84,22.056,0.63155,11.7,141,Carbon,P,FTO
265,1,0,0,2.7,1,0,1.18,0,0,0.95,1.957,1.049727855,1.6,0.08,0.2,1.13,19,0.71,16,142,Au,P,FTO
266,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.6,0.32,0.1,1.145,23.12,0.64,16.9,143,Au ,P,FTO
267,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.6,0.34,0.1,1.132,23.59,0.75,20.1,143,Au,P,FTO
268,0.15,0.85,0,2.7765,1,0,1.18,0.15,0,0.85,2.024,1.059446349,1.6,0.39,0.1,1.13,23.87,0.76,20.6,143,Au,P,FTO
269,0.7,0.3,0,2.727,1,0,1.18,0,0.1,0.9,2.035,1.047353808,1.5,0,0,1.1,18.55,0.5336,10.7,144,Ag,I,ITO
270,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.2,0.3,1.01,19.74,0.734,14.64,145,Ag,I,ITO
271,0,0,1,1.81,1,0,1.18,0.67,0,0.33,1.8992,0.8517798366,2.08,0.8,0.08,0.85,10.56,0.62,5.52,146,Au,I,FTO
272,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.21,0.1,0.965,21.7,0.7,14.65,147,Ag,P,ITO
273,1,0,0,2.7,1,0,1.18,0,0,1,2.06,1.038835888,1.5,0.21,0.03,0.9645,21.5,0.7,14.51,147,Ag,P,ITO
